date,event_id,event_name,event_type,surface,indoor,best_of,round,winner_name,loser_name,winner_id,loser_id,score,status,source_file,source_url,match_id
2023-09-22,laver-2023,Laver Cup,Laver Cup,Hard,Y,3,RR,Francisco Cerundolo,Alejandro Davidovich Fokina,atp:C0AU,atp:DH50,6-3 7-5,completed,manual/special_events.csv,https://lavercup.com/scores-results-2023,57f5195d950b2fbd23aa
2023-09-22,laver-2023,Laver Cup,Laver Cup,Hard,Y,3,RR,Felix Auger-Aliassime,Gael Monfils,atp:AG37,atp:MC65,6-4 6-3,completed,manual/special_events.csv,https://lavercup.com/scores-results-2023,9d8156e1ed3f7e1cd33e
2023-09-22,laver-2023,Laver Cup,Laver Cup,Hard,Y,3,RR,Ben Shelton,Arthur Fils,atp:S0S1,atp:F0F1,7-6(4) 6-1,completed,manual/special_events.csv,https://lavercup.com/scores-results-2023,c7f2cf7b751507d2d2d8
2023-09-23,laver-2023,Laver Cup,Laver Cup,Hard,Y,3,RR,Frances Tiafoe,Hubert Hurkacz,atp:TD51,atp:HB71,7-5 6-3,completed,manual/special_events.csv,https://lavercup.com/scores-results-2023,69458c99d935df0abdb2
2023-09-23,laver-2023,Laver Cup,Laver Cup,Hard,Y,3,RR,Casper Ruud,Tommy Paul,atp:RH16,atp:PL56,7-6(8) 6-2,completed,manual/special_events.csv,https://lavercup.com/scores-results-2023,9a774fb9e116cc7a1872
2023-09-23,laver-2023,Laver Cup,Laver Cup,Hard,Y,3,RR,Taylor Fritz,Andrey Rublev,atp:FB98,atp:RE44,6-2 7-6(3),completed,manual/special_events.csv,https://lavercup.com/scores-results-2023,e5bacefce5d9de45d7ea
2023-09-24,2023-2889,Antofagasta,Challenger,Clay,,3,R16,Tristan Boyer,Gustavo Heide,atp:B0EJ,atp:H0DU,6-4 3-6 6-4,completed,2023_challenger.csv,https://stats.tennismylife.org/data/2023_challenger.csv,06c156c7965184ce6372
2023-09-24,2023-2889,Antofagasta,Challenger,Clay,,3,R32,Juan Manuel Cerundolo,Viktor Durasovic,atp:C0C8,atp:DC76,6-3 6-3,completed,2023_challenger.csv,https://stats.tennismylife.org/data/2023_challenger.csv,0c95042985b0770befaf
2023-09-24,2023-2889,Antofagasta,Challenger,Clay,,3,R32,Gonzalo Lama,Maxime Janvier,atp:LB07,atp:J620,6-4 1-6 7-6(6),completed,2023_challenger.csv,https://stats.tennismylife.org/data/2023_challenger.csv,0f85129fa7e821cc50e6
2023-09-24,2023-2889,Antofagasta,Challenger,Clay,,3,R32,Tristan Boyer,Alejandro Tabilo,atp:B0EJ,atp:TE30,6-3 1-6 7-6(9),completed,2023_challenger.csv,https://stats.tennismylife.org/data/2023_challenger.csv,18f8f033d42fa901302b
